@relation 'ScalableColor256-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5 -O-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute 255 numeric
@attribute 254 numeric
@attribute 85 numeric
@attribute 84 numeric
@attribute 83 numeric
@attribute 82 numeric
@attribute 1000 {0,1,2,3}

@data
0.040912,0.030505,0.113088,0.132252,0.07475,0.045498,0
0.04081,0.0304,0.112998,0.132138,0.074661,0.04539,0
0.040666,0.030256,0.112895,0.13202,0.07453,0.045247,2
0.040781,0.030371,0.112975,0.132143,0.074629,0.045362,0
0.040938,0.03053,0.113112,0.132267,0.074776,0.045522,0
0.040937,0.030529,0.11311,0.132266,0.074775,0.045521,0
0.040933,0.030525,0.113107,0.132264,0.074771,0.045518,0
0.040926,0.030518,0.113099,0.13226,0.074763,0.04551,0
0.040924,0.030517,0.113098,0.13226,0.074761,0.045509,0
0.040931,0.030523,0.113103,0.132264,0.074768,0.045515,0
0.040933,0.030525,0.113105,0.132266,0.07477,0.045517,0
0.040933,0.030525,0.113106,0.132265,0.07477,0.045517,0
0.040806,0.030396,0.112996,0.132138,0.074657,0.045385,0
0.040933,0.030525,0.113106,0.132265,0.07477,0.045517,0
0.040932,0.030524,0.113104,0.132265,0.074769,0.045516,0
0.040609,0.030199,0.112834,0.132012,0.074468,0.045191,0
0.040911,0.030503,0.113095,0.132223,0.074754,0.045495,2
0.040896,0.030488,0.113084,0.132211,0.07474,0.045478,2
0.040878,0.030469,0.113062,0.132198,0.074723,0.045459,2
0.040783,0.030377,0.112989,0.13211,0.074635,0.045364,2
0.040724,0.030317,0.112937,0.132061,0.07458,0.045304,2
0.040703,0.030294,0.112916,0.132041,0.07456,0.04528,2
0.040755,0.030347,0.112966,0.132086,0.074607,0.045335,2
0.040747,0.030337,0.112944,0.132087,0.074603,0.045324,0
0.04088,0.030472,0.11307,0.132198,0.074723,0.045461,2
0.040638,0.030227,0.112871,0.131997,0.074504,0.045218,2
0.040885,0.030476,0.113065,0.132228,0.074724,0.045466,0
0.040935,0.030526,0.113108,0.132265,0.074772,0.045519,0
0.040933,0.030525,0.113107,0.132264,0.074771,0.045518,0
0.040933,0.030525,0.113106,0.132265,0.074771,0.045517,0
0.040927,0.030519,0.113101,0.132261,0.074765,0.045512,0
0.040927,0.030519,0.1131,0.132261,0.074764,0.045511,0
0.040933,0.030525,0.113105,0.132266,0.07477,0.045517,0
0.040937,0.030529,0.113109,0.132268,0.074774,0.045521,0
0.040846,0.030434,0.113034,0.132167,0.074694,0.045426,0
0.040935,0.030526,0.113107,0.132267,0.074772,0.045518,0
0.040932,0.030524,0.113104,0.132265,0.074769,0.045516,0
0.040931,0.030523,0.113104,0.132264,0.074768,0.045515,0
0.040675,0.030266,0.112885,0.132064,0.074527,0.045257,0
0.040901,0.030491,0.113087,0.132208,0.074745,0.045485,2
0.040905,0.030496,0.113091,0.132218,0.074747,0.045486,2
0.04085,0.030443,0.113047,0.132171,0.074697,0.045433,2
0.04076,0.030353,0.112966,0.13209,0.074614,0.04534,1
0.040686,0.030277,0.112899,0.132029,0.074545,0.045262,1
0.040621,0.030211,0.112853,0.13197,0.074486,0.045199,2
0.040808,0.030397,0.112998,0.132134,0.074659,0.045387,0
0.040787,0.03038,0.112993,0.132116,0.074637,0.045367,2
0.040834,0.030426,0.113033,0.132157,0.07468,0.045414,2
0.040649,0.030239,0.112879,0.132003,0.074514,0.045228,2
0.040914,0.030506,0.113091,0.132254,0.074752,0.045496,0
0.040936,0.030528,0.113108,0.132266,0.074773,0.04552,0
0.040937,0.030529,0.11311,0.132266,0.074775,0.045521,0
0.040936,0.030527,0.113109,0.132265,0.074774,0.04552,0
0.040936,0.030527,0.113109,0.132265,0.074774,0.04552,0
0.040923,0.030515,0.113097,0.132259,0.07476,0.045508,0
0.040929,0.030521,0.113102,0.132264,0.074766,0.045513,0
0.040876,0.030463,0.11306,0.132185,0.074721,0.045457,0
0.040936,0.030528,0.113108,0.132267,0.074773,0.045519,0
0.040935,0.030526,0.113107,0.132267,0.074772,0.045518,0
0.040936,0.030528,0.113108,0.132267,0.074773,0.045519,0
0.040932,0.030524,0.113105,0.132264,0.074769,0.045516,0
0.04067,0.030261,0.112876,0.13206,0.074522,0.045252,0
0.040848,0.030439,0.113044,0.132167,0.074697,0.045431,2
0.040885,0.030478,0.113075,0.132202,0.074728,0.045467,2
0.040751,0.030345,0.112959,0.132082,0.074604,0.045331,2
0.040711,0.030304,0.112927,0.132047,0.074568,0.04529,2
0.040765,0.030356,0.112965,0.132101,0.074619,0.045343,2
0.040858,0.030446,0.113055,0.132168,0.074705,0.045444,0
0.040732,0.030325,0.112944,0.13207,0.074588,0.045312,2
0.040758,0.030348,0.112967,0.132088,0.07461,0.045336,2
0.04081,0.030401,0.113008,0.132135,0.07466,0.04539,1
0.040706,0.030296,0.112928,0.132053,0.074566,0.045284,2
0.040856,0.030447,0.113037,0.132208,0.074696,0.045437,0
0.040937,0.030529,0.113109,0.132268,0.074774,0.045521,0
0.04094,0.030531,0.113112,0.132268,0.074778,0.045523,0
0.040932,0.030524,0.113106,0.132264,0.07477,0.045516,0
0.04093,0.030522,0.113105,0.132261,0.074768,0.045514,0
0.040921,0.030513,0.113095,0.132258,0.074758,0.045505,0
0.040567,0.030161,0.112786,0.131979,0.07443,0.045152,0
0.040929,0.030521,0.113102,0.132263,0.074766,0.045513,0
0.040931,0.030523,0.113104,0.132264,0.074768,0.045515,0
0.040933,0.030525,0.113106,0.132265,0.07477,0.045517,0
0.040932,0.030524,0.113104,0.132265,0.074769,0.045516,0
0.040929,0.030521,0.113102,0.132263,0.074766,0.045513,0
0.040658,0.030249,0.112866,0.132049,0.074512,0.04524,0
0.040793,0.030382,0.112995,0.132122,0.074646,0.045373,2
0.040953,0.030545,0.113131,0.132261,0.074791,0.045536,2
0.040791,0.030384,0.112991,0.132119,0.074643,0.045371,2
0.040656,0.030249,0.112878,0.132001,0.074517,0.045234,2
0.040935,0.030526,0.113109,0.132264,0.074773,0.045519,0
0.040723,0.030317,0.112936,0.132057,0.074578,0.045303,2
0.040745,0.030333,0.112952,0.132067,0.0746,0.045326,1
0.040832,0.030424,0.11303,0.132157,0.074679,0.045412,2
0.04079,0.030381,0.112995,0.13212,0.074643,0.04537,2
0.040631,0.03022,0.112857,0.13202,0.074492,0.045211,0
0.040941,0.030533,0.113112,0.132271,0.074778,0.045524,0
0.040939,0.03053,0.113111,0.132268,0.074776,0.045522,0
0.04094,0.030531,0.113113,0.132269,0.074778,0.045523,0
0.04093,0.030523,0.113105,0.132263,0.074769,0.045515,0
0.040927,0.030519,0.113102,0.13226,0.074765,0.045512,0
0.040935,0.030526,0.113109,0.132264,0.074773,0.045519,0
0.040915,0.030507,0.11309,0.132254,0.074752,0.0455,0
0.040926,0.030518,0.113099,0.13226,0.074763,0.04551,0
